Age,Gender,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,ethnicity_0,ethnicity_1,ethnicity_2,ethnicity_3
17,0,1,9.081931867550733,19,0,2,0,0,0,0,1.175347658120809,0.0,0,0,1,0
16,0,2,9.766698260086692,0,0,0,0,1,0,0,3.043931624402609,2.0,1,0,0,0
18,1,3,16.086406521943452,20,0,1,0,0,1,0,1.28766735664722,1.0,0,0,0,1
18,1,1,3.1657251211819615,1,1,3,0,1,0,0,2.9594927281039074,2.0,1,0,0,0
18,1,2,17.220176426160272,28,0,4,0,0,0,0,1.06642462275961,0.0,0,0,1,0
15,1,1,3.5835934925064516,20,0,3,1,0,0,0,0.9538406849215224,1.0,0,1,0,0
15,0,2,9.383549921855431,25,0,2,0,1,0,0,1.1941661337644758,0.0,1,0,0,0
18,0,1,5.180702882066943,21,0,3,0,0,0,0,1.073333389897043,0.0,1,0,0,0
16,1,2,8.969704560052676,9,0,2,1,1,0,0,2.9994091469264443,2.0,1,0,0,0
18,1,1,16.65988277106001,9,0,1,0,0,0,0,2.1047955879699045,1.0,1,0,0,0
15,1,0,3.232753875691836,13,0,2,0,1,0,0,1.6879004923340846,0.0,0,0,1,0
15,1,1,16.655581420465893,13,1,3,0,1,0,0,2.539112848520151,0.0,1,0,0,0
15,1,3,18.271560228053897,5,0,3,0,0,1,1,2.860396826235563,2.0,1,0,0,0
18,0,3,12.684861819550852,20,0,2,0,0,0,0,1.3476334931151803,2.0,0,1,0,0
18,1,2,19.313063495328247,7,0,0,1,1,0,0,2.5968344902614566,2.0,1,0,0,0
15,1,2,17.471111524541776,7,0,2,0,1,0,0,3.1030753433789715,3.0,1,0,0,0
18,1,1,1.7965150514416806,11,1,2,0,0,0,1,1.7980154436118352,0.0,1,0,0,0
16,0,1,0.2305202810597051,26,0,2,0,0,0,0,0.1126350589951871,0.0,1,0,0,0
18,1,2,12.183907827866523,13,1,4,1,0,1,0,2.9932144641445677,2.0,0,0,1,0
16,0,3,13.230486482923498,25,0,3,1,0,0,0,0.9430459197705604,0.0,0,1,0,0
16,1,3,11.26253187784094,21,0,2,0,0,0,0,0.8507438645015205,0.0,0,0,0,1
16,1,2,2.4692714746147204,19,0,1,0,0,0,1,0.7547506714781123,0.0,0,0,0,1
18,0,1,8.765972160663317,17,0,4,0,0,0,0,1.666702257521599,0.0,1,0,0,0
17,1,0,9.786454949502428,9,0,4,0,1,0,0,2.298417928509479,1.0,0,1,0,0
15,1,4,16.732404207353163,20,1,4,0,1,1,0,1.8476004181084256,0.0,1,0,0,0
15,1,1,8.384984986379315,19,1,2,1,1,0,0,1.5578704926030598,1.0,0,0,0,1
15,1,2,2.0589228940057236,29,0,4,0,1,0,1,0.6176804235913715,0.0,0,1,0,0
16,0,2,8.164750386925974,12,0,2,0,0,0,0,1.9507691766596456,0.0,0,1,0,0
15,0,2,16.43155383521676,6,0,3,0,1,0,0,3.072136606487933,3.0,1,0,0,0
16,1,1,3.294680177754481,20,0,2,1,0,0,0,0.8092601434109807,0.0,0,0,1,0
15,0,1,10.50720963638996,20,0,2,0,0,0,0,1.1825650544782942,0.0,1,0,0,0
18,1,1,0.6398892028864944,25,0,2,0,1,0,0,0.7588142687845363,0.0,1,0,0,0
15,1,3,8.269315334203203,29,1,2,0,0,1,0,0.7307796023629439,0.0,1,0,0,0
15,0,2,4.62697426400301,14,0,3,0,0,0,1,1.7303180027913696,0.0,1,0,0,0
17,1,2,19.833722807854713,7,1,2,0,0,1,0,2.929195591667681,2.0,1,0,0,0
16,1,2,11.13688826269125,4,0,4,1,1,0,0,3.546432808712968,3.0,1,0,0,0
15,1,2,4.1932184422340075,17,0,2,1,0,0,0,1.5269602894052965,0.0,1,0,0,0
17,1,1,17.584086751707652,6,0,2,0,0,0,0,2.5590703550177483,2.0,1,0,0,0
15,1,3,17.067914670738833,14,0,3,1,0,1,0,2.200682946560561,1.0,1,0,0,0
17,0,2,0.6194120684502025,18,0,2,0,0,1,0,1.2355538161189008,0.0,1,0,0,0
16,1,1,0.0082057887834974,26,0,2,1,0,0,0,0.264924162952827,0.0,0,0,0,1
18,0,1,15.40875605584674,0,0,1,0,0,0,0,3.042914833436377,3.0,1,0,0,0
16,1,3,6.711144033933143,19,1,3,1,0,0,1,1.6209212385063754,0.0,0,0,1,0
17,1,0,7.069549502567575,9,0,3,1,0,0,0,2.251753921949751,1.0,0,1,0,0
18,0,1,4.033104225337844,3,1,3,0,0,0,1,3.189217169770364,2.0,0,0,1,0
16,1,2,4.274733759638214,13,0,1,0,0,0,0,1.673711404485327,0.0,1,0,0,0
18,0,2,12.749976058683265,8,1,0,1,1,0,0,2.6523548127186087,2.0,1,0,0,0
17,0,1,5.291942237620599,20,1,3,1,0,1,0,1.653099762097065,0.0,0,1,0,0
18,1,2,12.120276638721624,20,1,2,0,1,0,0,1.515639098395023,0.0,1,0,0,0
15,0,1,17.679955537423734,8,0,0,0,1,0,0,2.275665113075239,2.0,0,1,0,0
18,1,1,17.54978483462976,25,1,2,1,0,0,0,1.2705295622953123,0.0,1,0,0,0
16,0,0,8.553835760669221,29,0,3,0,1,0,0,0.5282255514744685,1.0,0,0,1,0
18,0,2,11.717042448663369,19,1,2,0,0,0,0,1.3492561219436314,0.0,1,0,0,0
16,1,1,1.1276370770646316,21,0,2,0,0,0,0,1.0334594906901564,0.0,0,0,1,0
16,1,2,13.434896809549668,4,0,3,0,0,1,0,2.992912336093737,0.0,0,1,0,0
15,1,1,7.270289147385334,9,0,0,0,0,0,0,2.0038283786309425,1.0,0,0,0,1
18,0,2,18.46599016539859,19,0,1,0,1,1,0,1.7051993889190245,0.0,0,1,0,0
15,1,2,16.324557037256003,21,1,0,0,1,0,0,1.3610312878747248,0.0,1,0,0,0
17,1,2,5.959595893245391,1,1,2,1,0,0,0,3.453790618896306,3.0,0,1,0,0
17,1,1,2.695715698348762,8,0,2,1,1,0,0,2.5723917087049193,2.0,1,0,0,0
15,0,2,5.5485346960195825,28,0,2,1,0,0,0,0.2143195035843396,0.0,0,0,1,0
15,0,2,4.8439178402628436,21,0,2,0,1,0,0,1.5269160461968396,0.0,1,0,0,0
18,0,1,9.837519189216476,10,1,3,0,0,0,1,2.2887682028383933,1.0,0,0,0,1
17,1,2,2.538721153483527,12,0,2,0,1,0,0,1.978021718438136,0.0,0,1,0,0
17,1,2,5.902177203685706,27,1,2,1,1,1,0,0.8375123196439725,0.0,0,0,1,0
17,1,2,1.444586965449557,24,0,0,0,0,0,0,0.0,0.0,0,1,0,0
16,0,1,3.625005111031039,5,0,1,1,0,0,0,2.8079741296204626,2.0,0,1,0,0
17,1,1,12.78772842908196,4,0,3,0,0,0,0,3.101673809015105,3.0,0,0,0,1
18,1,2,4.224165171759033,19,0,3,0,1,1,0,1.5487102111350304,0.0,0,0,1,0
16,1,1,17.841487021872414,24,0,3,0,1,0,0,1.4444766951837589,0.0,1,0,0,0
16,1,0,6.754959934696945,0,0,2,1,0,0,0,3.294332437143911,3.0,1,0,0,0
17,1,2,9.925902510012794,6,0,3,0,0,0,0,2.748610257448085,2.0,0,0,1,0
18,0,2,5.069142593460326,8,0,3,0,0,0,0,2.3375584621180696,1.0,0,0,1,0
15,1,1,10.766527440198242,29,0,1,0,0,0,0,0.3785436345391653,0.0,0,1,0,0
17,0,1,1.591762947440849,5,0,3,0,0,0,0,2.513286133011632,2.0,1,0,0,0
17,0,1,10.41041067283029,21,0,2,0,0,0,1,0.9052099482554694,0.0,1,0,0,0
16,1,1,13.794030697237371,13,0,4,0,0,1,1,1.9523336493468064,0.0,1,0,0,0
18,1,2,14.572303135855538,6,0,3,1,0,1,0,3.1071355935726115,3.0,1,0,0,0
15,0,1,1.8976846029514929,2,0,1,1,0,0,0,2.8914784699994827,2.0,1,0,0,0
16,0,2,4.0227308518075455,19,1,1,1,0,0,0,0.8765441058695893,0.0,1,0,0,0
16,1,2,4.491647653078021,2,1,3,1,1,0,0,3.375252255246081,3.0,0,0,1,0
15,0,2,16.193485161761465,18,0,3,0,0,1,0,1.733364046560005,0.0,0,0,1,0
16,0,3,3.067296548314913,29,0,2,1,0,0,0,0.4757308333876264,0.0,1,0,0,0
16,1,2,13.72048447871782,16,0,3,0,0,1,0,1.9609688486532324,0.0,1,0,0,0
15,1,2,19.916047355598373,1,0,2,0,0,0,0,3.1302227945215697,3.0,0,1,0,0
15,0,2,1.4174340130974716,9,0,4,0,1,0,0,2.407284043136154,3.0,1,0,0,0
18,1,4,16.564255157731886,21,0,2,0,1,1,0,1.7290731666537256,0.0,0,0,0,1
17,1,3,1.573953503907981,28,0,3,1,0,0,0,0.5813557994949716,0.0,0,0,1,0
15,1,0,11.083394432220002,24,0,4,0,0,0,0,0.9526750330525334,0.0,0,1,0,0
18,0,0,12.635496873055107,0,1,2,0,0,0,0,3.7079480402167513,4.0,0,0,1,0
15,0,1,19.56530927058948,3,0,2,1,0,1,1,3.619460869693516,4.0,0,0,1,0
15,0,1,14.49825493248879,17,1,2,1,0,0,0,1.503416679305313,0.0,1,0,0,0
16,0,1,15.765504163416592,15,0,3,0,0,0,0,2.137692088152197,1.0,1,0,0,0
15,0,2,13.282514785667008,1,1,2,0,0,0,0,3.3788457271666,3.0,0,1,0,0
17,0,0,9.464263737687975,7,0,1,0,1,0,0,2.3530546550379574,1.0,1,0,0,0
18,1,2,8.71178316025418,2,0,1,0,0,0,0,2.6159007236869956,2.0,1,0,0,0
15,1,2,5.973443147750994,8,1,1,0,1,0,0,2.4821724081876124,1.0,0,0,1,0
15,1,3,13.906378992487692,8,0,0,1,0,1,0,2.378050042081803,1.0,0,1,0,0
17,0,3,15.048049074389343,25,0,2,0,0,0,0,0.8090678531539729,0.0,0,0,1,0
17,1,3,5.704886846135331,20,0,1,1,0,0,0,1.4003632540944204,0.0,1,0,0,0
18,1,2,10.378747285295136,20,0,3,0,1,1,1,1.4197989848171118,0.0,1,0,0,0
17,1,1,18.668266408991094,21,0,2,0,1,1,0,1.521013489971915,3.0,1,0,0,0
16,1,0,4.009380955327179,18,1,1,1,0,0,0,1.5420637396404375,0.0,1,0,0,0
18,1,1,10.9924460221207,28,0,3,0,0,0,0,0.4059048314284253,0.0,1,0,0,0
15,1,2,14.372074813803913,23,0,4,1,1,0,0,2.057378500596372,1.0,1,0,0,0
18,0,3,15.272209592283172,18,0,2,0,0,0,0,1.4145556778225787,0.0,0,0,1,0
18,1,2,13.91355326430678,6,0,3,1,0,0,0,2.9868916209305363,2.0,1,0,0,0
15,0,1,0.3591572750030192,21,0,0,0,1,0,1,0.4389817405690688,0.0,1,0,0,0
15,1,2,19.5701193386538,13,0,1,0,0,0,0,2.0966454405051325,1.0,0,1,0,0
17,1,2,13.080461553175208,28,0,1,0,0,1,0,0.5601746057023475,0.0,0,1,0,0
16,1,2,6.95937332310433,17,0,0,0,0,0,0,0.9842942952193188,2.0,1,0,0,0
18,1,2,13.016559009786562,11,0,4,0,0,0,0,2.205842147030335,1.0,0,1,0,0
17,1,3,10.028829473958217,14,0,3,1,0,0,0,2.0542181397029484,1.0,1,0,0,0
15,1,2,5.14237007997389,19,0,2,0,0,1,0,1.1748680910745393,0.0,1,0,0,0
15,1,3,14.922619564772845,9,0,1,0,0,0,1,2.4571875145361584,1.0,0,1,0,0
15,1,3,14.391168265308698,21,0,2,0,0,1,1,1.554112898573,0.0,1,0,0,0
16,1,3,4.234335569239313,13,0,3,1,0,0,0,2.126276926186896,1.0,0,1,0,0
15,0,1,6.75421549448449,4,1,1,0,0,1,1,2.864498066852598,2.0,1,0,0,0
16,1,2,6.587070484999094,27,1,3,1,0,0,1,0.8758837048232606,0.0,1,0,0,0
17,1,2,10.194710200078742,14,0,3,1,1,0,1,2.005144712913381,1.0,0,0,1,0
18,0,2,13.797920066267215,2,1,3,0,0,0,0,3.597766084455523,2.0,1,0,0,0
17,1,2,10.251524318484233,14,0,3,1,0,0,0,2.2598041504961186,1.0,0,0,1,0
18,1,2,3.009909961451711,23,1,1,1,1,0,0,1.0578761267920678,0.0,0,0,1,0
18,0,2,12.218930514053064,21,0,0,0,0,0,0,0.6128025023431376,0.0,1,0,0,0
18,1,1,13.73854833548605,7,0,4,1,0,0,1,3.2537859623175915,1.0,0,0,1,0
17,1,3,3.808269920498204,23,0,3,0,0,0,0,1.1588463344506037,0.0,0,0,1,0
18,0,1,2.679497334995624,8,0,2,0,0,1,0,1.8136795536240535,0.0,0,1,0,0
15,0,1,6.446769161618873,2,1,0,0,0,0,1,2.799063885002723,2.0,0,1,0,0
16,1,3,13.502597716888394,11,0,2,0,1,0,0,2.4370263001142716,1.0,0,0,0,1
15,0,1,11.06855401574136,14,0,3,0,0,0,0,1.821442173929074,0.0,0,1,0,0
15,0,2,14.140623386457689,4,0,0,0,0,0,0,2.533432395797906,2.0,0,0,0,1
15,1,4,8.09821628539688,10,0,1,1,0,0,0,1.9561691259633316,0.0,1,0,0,0
15,1,1,4.915006243717757,21,0,2,0,0,0,0,0.7287945170807484,0.0,0,1,0,0
15,0,1,11.448154519355302,19,0,2,0,0,0,0,0.88186635307777,0.0,0,0,1,0
16,0,1,7.755286570594995,13,0,3,0,0,0,1,1.8856147854844247,0.0,1,0,0,0
17,1,3,15.2140961208779,20,0,0,0,0,0,1,0.9990885438974272,0.0,1,0,0,0
18,0,3,12.194163910735195,0,0,1,0,0,0,0,2.773483878750202,2.0,1,0,0,0
15,1,3,2.3587734974846697,2,0,3,0,0,0,0,2.683854738684956,2.0,0,1,0,0
16,0,1,18.111642751462643,6,1,3,1,0,0,0,3.2618553073332905,3.0,0,1,0,0
18,1,0,10.281613912385463,10,0,3,1,0,0,0,2.777966932491008,2.0,0,1,0,0
17,0,1,10.596181141401082,22,0,0,1,0,0,0,0.7626843112270509,0.0,1,0,0,0
16,1,4,19.078416076934445,15,0,4,0,1,0,0,2.2159441692227517,1.0,0,0,0,1
18,1,0,7.096914468613164,11,0,3,0,0,0,0,1.3864645615000095,0.0,1,0,0,0
18,0,0,0.4878198622019347,13,0,1,1,0,0,0,1.5826829916643974,0.0,0,1,0,0
16,1,3,17.182607195024666,19,1,1,0,0,0,0,1.8933444720314547,0.0,1,0,0,0
15,0,2,17.197089806702436,25,0,3,1,0,0,0,1.118752405383704,0.0,0,0,1,0
15,0,3,0.5289380519533493,15,1,2,0,0,0,0,1.441918756451196,0.0,1,0,0,0
15,0,2,2.563761456209235,17,1,0,1,0,0,0,1.2836220775478306,0.0,0,0,0,1
15,1,1,13.09814246295718,23,1,0,1,1,0,0,1.0460447710800969,0.0,1,0,0,0
18,1,1,6.684306745202293,4,0,0,0,0,0,0,2.4052675257641485,1.0,1,0,0,0
18,0,3,7.371249380554277,17,0,1,1,0,0,0,1.4699645571762952,0.0,0,1,0,0
15,1,2,2.1218409989590414,14,1,2,0,1,0,0,1.8714659014427095,0.0,1,0,0,0
15,1,2,17.18869165667102,4,0,2,0,1,0,0,3.2759034528026745,1.0,1,0,0,0
18,1,1,11.942332400310068,13,0,2,0,1,0,1,1.9915084140251775,0.0,0,0,0,1
17,1,3,16.567562912032926,2,1,2,1,0,0,0,3.354368116289429,3.0,1,0,0,0
18,0,2,10.050952134440465,29,0,3,0,1,1,0,0.820105530138668,0.0,0,0,0,1
16,1,0,6.441611506325316,26,0,2,0,1,0,1,0.384375395876116,0.0,1,0,0,0
17,1,2,0.3808681854858364,8,0,1,0,0,0,1,1.6338115616970532,0.0,1,0,0,0
16,1,3,2.5331174569438786,29,0,0,0,1,0,0,0.1152432109582913,0.0,1,0,0,0
17,0,2,0.4426890205899414,5,0,1,1,0,0,0,2.3254340649162404,1.0,1,0,0,0
15,1,2,12.283377006377854,3,0,4,0,0,1,0,3.268794215560215,3.0,1,0,0,0
15,1,3,0.767231095759493,29,0,0,0,0,0,0,0.0,0.0,1,0,0,0
15,0,2,17.75503049343376,10,1,1,0,1,0,0,2.8199217452931866,2.0,0,0,1,0
15,0,1,16.051214963032557,13,0,3,0,1,0,0,1.892745844623002,0.0,0,1,0,0
15,0,1,5.048276259531203,15,0,1,0,1,0,0,1.8080971980423572,0.0,0,0,1,0
18,0,0,9.36922474174173,6,0,2,0,0,0,1,2.635341351261105,2.0,0,1,0,0
18,0,2,11.83615815326652,11,1,3,1,1,0,0,2.573034385056746,2.0,0,1,0,0
15,0,2,14.577410189771916,4,0,1,0,0,0,0,2.4959194397063627,1.0,0,1,0,0
17,1,1,18.018154605339813,12,0,2,0,0,0,0,2.255698914963147,1.0,0,1,0,0
15,1,2,1.040916775122629,18,1,1,0,1,0,0,1.3553810454285826,0.0,1,0,0,0
16,0,4,4.188134278998672,20,1,2,0,1,0,0,1.4382049683676248,0.0,0,1,0,0
18,1,0,2.822522365986438,4,0,1,1,1,0,1,2.5761746968185832,2.0,0,1,0,0
17,0,2,15.630462590661342,3,0,0,1,0,0,0,2.898151345753362,2.0,0,1,0,0
18,1,3,8.970850987369188,24,1,1,0,1,0,0,1.16974580305184,3.0,1,0,0,0
16,0,1,13.165675668523146,5,1,3,0,0,1,0,3.102745561433283,3.0,1,0,0,0
15,0,1,3.4152056690077126,15,0,2,1,0,0,0,1.6771008018764466,0.0,0,1,0,0
15,1,2,5.053260043425647,1,0,1,0,0,1,0,3.4154133242434344,3.0,1,0,0,0
17,0,2,15.440635719447096,27,0,2,0,1,0,0,0.4005694786322673,0.0,0,1,0,0
16,0,3,4.297092128499962,23,0,0,0,0,0,0,0.5022261210258885,0.0,1,0,0,0
18,0,1,10.826707654025345,0,0,3,0,1,1,0,3.729652301008408,4.0,0,0,1,0
15,0,1,12.32448503213906,0,0,1,1,0,0,0,3.3339700023673537,3.0,1,0,0,0
15,1,2,3.0531632908156747,23,0,3,1,1,0,0,1.185985514478241,0.0,1,0,0,0
17,1,2,9.602698792767464,23,0,0,1,1,0,0,1.2178731513333656,0.0,1,0,0,0
16,0,2,13.812306247732726,13,0,1,0,0,1,0,1.8064063454058108,0.0,1,0,0,0
16,1,2,1.95414550773517,29,1,4,0,0,0,0,0.5403751565523403,0.0,1,0,0,0
18,1,2,17.155310967448845,29,0,2,1,0,1,0,0.8411757539950683,0.0,1,0,0,0
15,0,0,9.297095616265414,1,0,1,1,0,0,0,2.9965033042477023,2.0,0,1,0,0
15,0,1,6.192636200056915,7,0,2,1,0,0,0,2.127408865912826,1.0,0,1,0,0
15,1,1,17.00635416315198,11,0,4,1,0,0,0,2.627693905554347,2.0,1,0,0,0
15,1,3,13.48439264894794,13,0,0,1,1,0,0,2.1573918332612245,1.0,0,0,0,1
15,0,2,5.708105806056832,13,1,2,0,1,0,0,2.2435930907680928,2.0,0,0,1,0
16,1,3,14.166480981559406,27,0,2,0,0,0,0,0.7961429158962126,0.0,0,1,0,0
15,1,1,8.63610201571824,6,1,2,0,0,0,1,2.917010983412451,2.0,0,1,0,0
17,0,3,2.2078846849986755,21,1,3,0,0,0,0,1.3339741028791137,4.0,0,1,0,0
17,0,3,0.8769370499325979,3,1,2,0,1,1,0,3.0042333028010937,3.0,1,0,0,0
15,0,2,6.890117867881265,11,0,3,1,0,0,0,1.9746552454467765,0.0,1,0,0,0
16,1,0,12.665378346749778,26,0,3,1,1,0,0,0.8976341586164038,0.0,0,1,0,0
17,1,2,12.95674077216453,17,0,3,0,1,0,0,2.0634635075132985,1.0,0,0,1,0
15,0,1,10.531898851795788,12,0,2,1,0,0,0,2.122638529628868,1.0,0,0,0,1
17,1,3,10.116184451846594,12,0,3,0,0,0,0,1.880909289765476,0.0,0,1,0,0
17,1,1,9.921509570010622,4,0,1,0,0,0,0,2.30759662333527,1.0,1,0,0,0
15,1,2,10.728207661600608,13,1,1,0,0,0,0,2.153758339869399,1.0,1,0,0,0
17,0,2,16.119402573419077,18,1,3,0,0,0,0,1.844059263528674,0.0,0,1,0,0
16,0,4,10.364366312718548,12,0,0,0,0,1,0,1.4716720294797634,0.0,0,0,1,0
15,0,1,0.2971224501500757,5,0,3,0,0,0,0,2.46060677377515,1.0,1,0,0,0
16,0,3,7.3016734656880145,27,0,0,0,0,0,0,0.0,0.0,0,0,0,1
15,1,1,12.388901476363063,18,0,2,1,0,0,0,1.4229175121495328,0.0,1,0,0,0
17,1,2,17.431037129164956,17,0,2,0,0,0,0,1.3375549802098765,0.0,0,0,0,1
18,0,0,15.073322758191626,14,0,4,1,0,0,0,2.605399264020907,2.0,1,0,0,0
17,1,1,19.007595029641863,20,0,1,1,0,0,0,1.3127724135140753,0.0,0,0,1,0
15,1,1,3.997459492988873,6,0,1,0,0,1,0,1.9012665239921256,0.0,0,1,0,0
17,0,2,13.546836921630328,22,0,1,0,0,0,0,0.9126606733812742,0.0,0,1,0,0
16,0,2,4.5041420043240326,16,0,2,1,0,0,1,1.6336793710032238,0.0,0,0,1,0
17,0,2,14.775560578371952,26,0,3,1,0,1,0,1.1241371864897378,0.0,0,1,0,0
16,1,4,2.5462375749345,16,0,2,0,1,1,0,1.6896730848454322,0.0,1,0,0,0
18,0,2,5.577438525219298,19,0,4,1,0,0,0,1.5913479919456928,0.0,1,0,0,0
17,0,2,7.56392699056438,4,0,0,0,0,0,1,1.953200561311372,0.0,1,0,0,0
15,0,0,15.665801848777328,19,1,0,0,1,0,0,1.1921084719956991,0.0,0,0,1,0
18,1,1,3.2142669838197135,26,0,3,0,1,0,0,0.6193509314675341,0.0,1,0,0,0
18,0,2,0.1690299212492108,22,0,1,1,0,0,0,0.8813584466312141,0.0,0,1,0,0
15,1,0,5.791654093414542,2,0,1,1,0,0,0,2.8159732956810704,2.0,1,0,0,0
16,0,3,2.9909863711388907,7,0,4,0,0,0,0,2.215087048853621,1.0,1,0,0,0
15,0,2,0.815700268710362,1,0,1,0,0,1,1,2.806877505411242,2.0,0,0,1,0
16,0,1,19.257409880036192,0,0,4,0,0,0,0,3.524855822624972,4.0,1,0,0,0
15,0,2,11.564595723390276,19,0,3,0,0,0,0,1.4948695594196215,0.0,0,0,1,0
